ID,SourceStructureID,TypeSource,TargetStructureID,TypeTarget,Bidirectional,LastModified,Links
361,623,BC Conventional Synapse,24359,Postsynapse,False,2017-10-02T18:45:38.983-07:00,"[{'SourceID': 22877, 'TargetID': 24519, 'Directional': False}]"
362,623,Ribbon Synapse,24359,Postsynapse,False,2017-09-21T21:14:57.64-07:00,"[{'SourceID': 22883, 'TargetID': 24372, 'Directional': False}]"
363,623,Ribbon Synapse,24044,Postsynapse,False,2017-10-12T17:55:19.757-07:00,"[{'SourceID': 22883, 'TargetID': 24718, 'Directional': False}]"
364,623,Ribbon Synapse,24710,Postsynapse,False,2017-10-12T16:55:03.507-07:00,"[{'SourceID': 22885, 'TargetID': 24711, 'Directional': False}]"
365,623,Ribbon Synapse,24359,Postsynapse,False,2017-10-12T17:51:23.023-07:00,"[{'SourceID': 22885, 'TargetID': 24717, 'Directional': False}]"
366,623,Ribbon Synapse,24361,Postsynapse,False,2017-09-29T15:00:16.747-07:00,"[{'SourceID': 22891, 'TargetID': 24469, 'Directional': False}]"
367,623,Ribbon Synapse,24470,Postsynapse,False,2017-09-29T15:16:29.247-07:00,"[{'SourceID': 22894, 'TargetID': 24474, 'Directional': False}]"
368,623,Ribbon Synapse,24724,Postsynapse,False,2017-10-13T16:54:00.41-07:00,"[{'SourceID': 22894, 'TargetID': 24725, 'Directional': False}]"
369,623,Ribbon Synapse,24470,Postsynapse,False,2017-10-13T16:54:12.65-07:00,"[{'SourceID': 22895, 'TargetID': 24732, 'Directional': False}]"
370,623,Ribbon Synapse,24733,Postsynapse,False,2017-10-13T16:54:23.49-07:00,"[{'SourceID': 22895, 'TargetID': 24734, 'Directional': False}]"
371,623,Ribbon Synapse,24739,Postsynapse,False,2017-10-13T20:33:32.023-07:00,"[{'SourceID': 22898, 'TargetID': 24750, 'Directional': False}]"
372,623,Ribbon Synapse,823,Postsynapse,False,2017-10-13T20:51:34.08-07:00,"[{'SourceID': 22898, 'TargetID': 24752, 'Directional': False}]"
373,623,Ribbon Synapse,24787,Postsynapse,False,2018-06-05T21:19:55.677-07:00,"[{'SourceID': 22899, 'TargetID': 28192, 'Directional': False}]"
374,623,Ribbon Synapse,24470,Postsynapse,False,2017-09-29T15:21:28-07:00,"[{'SourceID': 22900, 'TargetID': 24475, 'Directional': False}]"
375,623,Ribbon Synapse,24812,Postsynapse,False,2017-10-17T21:54:31.907-07:00,"[{'SourceID': 22903, 'TargetID': 24813, 'Directional': False}]"
376,623,Ribbon Synapse,24787,Postsynapse,False,2017-10-18T18:20:54.23-07:00,"[{'SourceID': 22909, 'TargetID': 24839, 'Directional': False}]"
377,623,Ribbon Synapse,24794,Postsynapse,False,2017-10-17T18:29:05.87-07:00,"[{'SourceID': 22911, 'TargetID': 24798, 'Directional': False}]"
378,623,Ribbon Synapse,24787,Postsynapse,False,2017-10-18T18:18:10.747-07:00,"[{'SourceID': 22911, 'TargetID': 24843, 'Directional': False}]"
379,623,BC Conventional Synapse,24837,Postsynapse,False,2017-10-18T16:25:58.9-07:00,"[{'SourceID': 22914, 'TargetID': 24838, 'Directional': False}]"
380,623,Ribbon Synapse,24126,Postsynapse,False,2017-09-13T16:46:30.82-07:00,"[{'SourceID': 22915, 'TargetID': 24144, 'Directional': False}]"
381,623,Ribbon Synapse,24704,Postsynapse,False,2017-10-10T20:21:27.38-07:00,"[{'SourceID': 22917, 'TargetID': 24705, 'Directional': False}]"
382,80,Ribbon Synapse,265,Postsynapse,False,2020-08-20T15:59:15.68-07:00,"[{'SourceID': 22962, 'TargetID': 45282, 'Directional': False}]"
383,80,Ribbon Synapse,2709,Postsynapse,False,2018-08-08T16:51:11.053-07:00,"[{'SourceID': 22970, 'TargetID': 29271, 'Directional': False}]"
384,80,Ribbon Synapse,2709,Postsynapse,False,2018-08-08T16:54:15.897-07:00,"[{'SourceID': 22975, 'TargetID': 29272, 'Directional': False}]"
385,2037,Conventional,80,Postsynapse,False,2017-07-31T18:57:21.61-07:00,"[{'SourceID': 22998, 'TargetID': 22997, 'Directional': False}]"
386,23017,Ribbon Synapse,933,Postsynapse,False,2017-08-02T17:12:54.28-07:00,"[{'SourceID': 23018, 'TargetID': 2468, 'Directional': False}]"
387,23058,Ribbon Synapse,616,Postsynapse,False,2017-08-28T19:51:50.753-07:00,"[{'SourceID': 23062, 'TargetID': 23434, 'Directional': False}]"
388,822,Ribbon Synapse,37502,Postsynapse,False,2019-06-14T19:53:37.09-07:00,"[{'SourceID': 23131, 'TargetID': 37505, 'Directional': False}]"
389,822,Ribbon Synapse,37510,Postsynapse,False,2019-06-14T19:53:33.21-07:00,"[{'SourceID': 23131, 'TargetID': 37512, 'Directional': False}]"
390,822,Ribbon Synapse,24146,Postsynapse,False,2018-06-11T18:49:20.403-07:00,"[{'SourceID': 23133, 'TargetID': 24147, 'Directional': False}]"
391,822,Ribbon Synapse,265,Postsynapse,False,2019-06-14T21:31:18.4-07:00,"[{'SourceID': 23133, 'TargetID': 37519, 'Directional': False}]"
392,822,Ribbon Synapse,265,Postsynapse,False,2019-06-14T21:23:17.13-07:00,"[{'SourceID': 23140, 'TargetID': 37518, 'Directional': False}]"
393,822,Ribbon Synapse,37522,Postsynapse,False,2019-06-14T21:47:36.8-07:00,"[{'SourceID': 23140, 'TargetID': 37524, 'Directional': False}]"
394,822,Ribbon Synapse,37526,Postsynapse,False,2019-06-17T18:23:11.597-07:00,"[{'SourceID': 23142, 'TargetID': 37579, 'Directional': False}]"
395,822,Ribbon Synapse,265,Postsynapse,False,2019-06-17T18:37:33.887-07:00,"[{'SourceID': 23142, 'TargetID': 37591, 'Directional': False}]"
396,822,Ribbon Synapse,37526,Postsynapse,False,2019-06-17T16:59:06.533-07:00,"[{'SourceID': 23143, 'TargetID': 37566, 'Directional': False}]"
397,822,Ribbon Synapse,265,Postsynapse,False,2019-06-17T18:43:25.05-07:00,"[{'SourceID': 23144, 'TargetID': 37593, 'Directional': False}]"
398,822,Ribbon Synapse,265,Postsynapse,False,2019-06-17T18:55:38.547-07:00,"[{'SourceID': 23149, 'TargetID': 37598, 'Directional': False}]"
399,822,Ribbon Synapse,39563,Postsynapse,False,2019-07-26T21:32:15.813-07:00,"[{'SourceID': 23149, 'TargetID': 39564, 'Directional': False}]"
400,822,Ribbon Synapse,37816,Postsynapse,False,2019-06-21T19:27:23.823-07:00,"[{'SourceID': 23150, 'TargetID': 37835, 'Directional': False}]"
401,822,Ribbon Synapse,265,Postsynapse,False,2019-06-21T20:09:33.43-07:00,"[{'SourceID': 23150, 'TargetID': 37843, 'Directional': False}]"
