ID,TypeID,Notes,Verified,Tags,Confidence,Version,ParentID,Created,Label,Username,LastModified
1,1,"Probable Rod Bipolar cell
*****BEGIN MERGE FROM 26243*****
Possible branch off C1
*****END MERGE FROM 26243*****
41676,85,,False,,0.5,AAAAAAAs6GA=,2455,2020-01-06T21:35:11.67-08:00,,JHY             ,2020-01-06T21:35:11.67-08:00
41677,85,,False,,0.5,AAAAAAAs6I8=,2455,2020-01-06T21:41:02.08-08:00,,JHY             ,2020-01-06T21:41:02.08-08:00
41678,85,,False,,0.5,AAAAAAAs6Lo=,2455,2020-01-06T21:46:35.92-08:00,,JHY             ,2020-01-06T21:46:35.92-08:00
41679,28,,False,,0.5,AAAAAAAs6L0=,2455,2020-01-06T21:46:59.22-08:00,,JHY             ,2020-01-06T21:46:59.22-08:00
41680,28,,False,,0.5,AAAAAAAs6T4=,2455,2020-01-06T22:01:29.53-08:00,,JHY             ,2020-01-06T22:01:29.53-08:00
41681,85,,False,,0.5,AAAAAAAs6Ug=,2455,2020-01-06T22:07:50.71-08:00,,JHY             ,2020-01-06T22:07:50.71-08:00
41683,85,,False,,0.5,AAAAAAAs6YY=,2455,2020-01-06T22:51:12.96-08:00,,JHY             ,2020-01-06T22:51:12.96-08:00
41684,1,,False,,0.5,AAAAAAAs6io=,,2020-01-06T23:46:08.997-08:00,,rpfeiffer       ,2020-01-06T23:46:08.997-08:00
41685,28,,False,,0.5,AAAAAAAs6iw=,41684,2020-01-06T23:46:15.893-08:00,,rpfeiffer       ,2020-01-06T23:46:15.893-08:00
41686,28,,False,,0.5,AAAAAAAs6ks=,2455,2020-01-06T23:47:56.653-08:00,,JHY             ,2020-01-06T23:47:56.653-08:00
41689,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs6uA=,1685,2020-01-06T23:49:55.153-08:00,,rpfeiffer       ,2020-01-06T23:51:59.093-08:00
41690,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs6t8=,1685,2020-01-06T23:51:00.813-08:00,,rpfeiffer       ,2020-01-06T23:51:59.093-08:00
41692,35,,False,"<Structure><Attrib Name=""Bipolar"" /><Attrib Name=""Ribbon"" /><Attrib Name=""Glutamate"" /></Structure>",0.5,AAAAAAAs66Q=,30939,2020-01-06T23:53:48.343-08:00,,rpfeiffer       ,2020-01-06T23:58:34.823-08:00
41693,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs66M=,30939,2020-01-06T23:57:15.16-08:00,,rpfeiffer       ,2020-01-06T23:58:34.823-08:00
41694,35,,False,"<Structure><Attrib Name=""Bipolar"" /><Attrib Name=""Ribbon"" /><Attrib Name=""Glutamate"" /></Structure>",0.5,AAAAAAAs66g=,30939,2020-01-06T23:58:51.207-08:00,,rpfeiffer       ,2020-01-06T23:58:51.207-08:00
41695,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs678=,30939,2020-01-06T23:59:23.39-08:00,,rpfeiffer       ,2020-01-06T23:59:23.39-08:00
41696,85,,False,,0.5,AAAAAAAs6/I=,2455,2020-01-07T00:03:10.127-08:00,,JHY             ,2020-01-07T00:03:10.127-08:00
41698,35,,False,"<Structure><Attrib Name=""Bipolar"" /><Attrib Name=""Ribbon"" /><Attrib Name=""Glutamate"" /></Structure>",0.5,AAAAAAAs7Lg=,1685,2020-01-07T00:03:46.66-08:00,,rpfeiffer       ,2020-01-07T00:15:12.627-08:00
41699,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs7Lc=,1685,2020-01-07T00:04:18.353-08:00,,rpfeiffer       ,2020-01-07T00:15:12.627-08:00
41700,28,,False,,0.5,AAAAAAAs7LY=,1685,2020-01-07T00:05:11.153-08:00,,rpfeiffer       ,2020-01-07T00:15:12.627-08:00
41701,28,,False,,0.5,AAAAAAAs7LU=,1685,2020-01-07T00:13:27.2-08:00,,rpfeiffer       ,2020-01-07T00:15:12.627-08:00
41702,28,,False,,0.5,AAAAAAAs7Es=,30939,2020-01-07T00:13:31.23-08:00,,rpfeiffer       ,2020-01-07T00:13:31.23-08:00
41703,35,,False,"<Structure><Attrib Name=""Bipolar"" /><Attrib Name=""Ribbon"" /><Attrib Name=""Glutamate"" /></Structure>",0.5,AAAAAAAs7LQ=,1685,2020-01-07T00:14:03.957-08:00,,rpfeiffer       ,2020-01-07T00:15:12.627-08:00
41704,1,,False,,0.5,AAAAAAAs7sU=,,2020-01-07T18:23:10.837-08:00,,rpfeiffer       ,2020-01-07T18:23:10.837-08:00
41705,35,,False,"<Structure><Attrib Name=""Bipolar"" /><Attrib Name=""Ribbon"" /><Attrib Name=""Glutamate"" /></Structure>",0.5,AAAAAAAs7ss=,41704,2020-01-07T18:23:19.767-08:00,,rpfeiffer       ,2020-01-07T18:23:19.767-08:00
41706,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs7tY=,41704,2020-01-07T18:23:46.263-08:00,,rpfeiffer       ,2020-01-07T18:23:46.263-08:00
41707,85,,False,,0.5,AAAAAAAs7uM=,2455,2020-01-07T18:24:00.953-08:00,,JHY             ,2020-01-07T18:24:00.953-08:00
41708,34,,False,,0.5,AAAAAAAs7vU=,2455,2020-01-07T18:24:35.123-08:00,,JHY             ,2020-01-07T18:24:35.123-08:00
41709,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs7v4=,41704,2020-01-07T18:24:42.553-08:00,,rpfeiffer       ,2020-01-07T18:24:42.553-08:00
41710,34,,False,,0.5,AAAAAAAs7ws=,2455,2020-01-07T18:24:58.003-08:00,,JHY             ,2020-01-07T18:24:58.003-08:00
41711,34,,False,,0.5,AAAAAAAs7yc=,2455,2020-01-07T18:25:31.39-08:00,,JHY             ,2020-01-07T18:25:31.39-08:00
41712,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs70I=,41704,2020-01-07T18:26:00.18-08:00,,rpfeiffer       ,2020-01-07T18:26:00.18-08:00
41713,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs70c=,2455,2020-01-07T18:26:07.15-08:00,,JHY             ,2020-01-07T18:26:07.15-08:00
41714,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs71g=,2455,2020-01-07T18:26:41.14-08:00,,JHY             ,2020-01-07T18:26:41.14-08:00
41715,85,,False,,0.5,AAAAAAAs72M=,2455,2020-01-07T18:27:28.573-08:00,,JHY             ,2020-01-07T18:27:28.573-08:00
41716,28,,False,,0.5,AAAAAAAs72Y=,2455,2020-01-07T18:27:39.45-08:00,,JHY             ,2020-01-07T18:27:39.45-08:00
41717,85,,False,,0.5,AAAAAAAs72g=,2455,2020-01-07T18:28:00.42-08:00,,JHY             ,2020-01-07T18:28:00.42-08:00
41718,35,,False,"<Structure><Attrib Name=""Bipolar"" /><Attrib Name=""Ribbon"" /><Attrib Name=""Glutamate"" /></Structure>",0.5,AAAAAAAs778=,1685,2020-01-07T18:33:50.963-08:00,,rpfeiffer       ,2020-01-07T18:33:50.963-08:00
41719,35,,False,"<Structure><Attrib Name=""Bipolar"" /><Attrib Name=""Ribbon"" /><Attrib Name=""Glutamate"" /></Structure>",0.5,AAAAAAAs7+o=,1685,2020-01-07T18:34:34.48-08:00,,rpfeiffer       ,2020-01-07T18:34:34.48-08:00
41720,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs7/k=,1685,2020-01-07T18:34:50.787-08:00,,rpfeiffer       ,2020-01-07T18:34:50.787-08:00
